"CaseId","WEIGHT","DV1A","DV1B","DV1C","DV1D","DV2A","DV2B","DV2C","DV2D","DV3A","DV3B","DV3C","DV3D","DV4A","DV4B","DV4C","DV4D","GENDER","AGE4","RACETHNICITY","EDUC5","INCOME4","METRO"
315,0.4995593659,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Male","45-59","Other, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
316,1.0149581606,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","SKIPPED ON WEB","SKIPPED ON WEB","SKIPPED ON WEB","SKIPPED ON WEB","SKIPPED ON WEB","Male","60+","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
317,0.8994017708,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
318,0.7352412226,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
319,0.2808117596,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
320,1.1600772215,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
321,0.6955664435,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
322,0.4485643745,"Yes","Unsure","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Male","30-44","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Metro Area"
323,0.2786118822,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Male","60+","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Non-Metro Area"
324,0.4544479738,"Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Unsure","No","Unsure","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Less than HS","$30,000 to under $60,000","Metro Area"
325,0.4377802475,"Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Non-Metro Area"
326,0.7301954601,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","Other, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
327,0.6286864495,"Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Yes","Unsure","Yes","Unsure","Unsure","Yes","Unsure","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
328,0.5854285594,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","No","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
329,0.7878615035,"Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","Male","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
330,0.9644656701,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
331,0.4085425933,"Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","Male","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
332,0.4528108214,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Male","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
333,0.3247502198,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
334,0.2290704259,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
335,1.2431542656,"Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","SKIPPED ON WEB","No","Male","60+","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
336,1.2894676402,"Yes","Unsure","Yes","Yes","No","Yes","Unsure","No","No","No","Unsure","No","No","Unsure","Yes","Unsure","Male","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
337,5.2039359984,"No","Yes","Unsure","No","No","No","Unsure","No","Yes","No","No","No","No","Unsure","Unsure","No","Male","60+","White, non-Hispanic","Less than HS","Less than $30,000","Metro Area"
338,0.1785699873,"Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Male","60+","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Non-Metro Area"
339,0.7883898718,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","60+","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
340,0.8069285911,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Unsure","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
341,1.2079462201,"Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
342,0.3183050362,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Female","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
343,0.8881693991,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Male","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
344,0.5115219154,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Female","30-44","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Non-Metro Area"
345,1.0321284139,"Yes","No","Yes","Yes","No","No","Unsure","Unsure","Unsure","Unsure","Unsure","No","Yes","Unsure","Yes","Unsure","Female","60+","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
346,0.5202332087,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
347,1.6103486927,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
348,0.8507681823,"Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
349,0.8654040991,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
350,0.4515198383,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
351,0.4375873521,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
352,2.3566251179,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Unsure","No","Yes","No","Yes","Yes","Yes","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
353,0.7588933281,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Unsure","Unsure","Yes","No","Yes","Yes","Male","30-44","White, non-Hispanic","HS graduate or equivalent","$100,000 or more","Metro Area"
354,5.4907062447,"No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","Bachelor's degree","Less than $30,000","Metro Area"
355,2.0820615881,"No","No","No","No","No","Unsure","No","No","No","No","No","No","No","No","No","No","Female","30-44","White, non-Hispanic","Less than HS","Less than $30,000","Metro Area"
356,0.4057600086,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
357,0.4744679605,"Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
358,0.3416591948,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","No","Yes","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
359,2.5282023494,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Female","45-59","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
360,0.3561419906,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Non-Metro Area"
361,0.7904706233,"Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
362,0.8930835631,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Female","30-44","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Non-Metro Area"
363,1.1217582769,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","SKIPPED ON WEB","SKIPPED ON WEB","SKIPPED ON WEB","SKIPPED ON WEB","Male","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
364,1.1314829046,"Yes","Unsure","Yes","Yes","No","Unsure","No","Yes","Yes","No","Yes","No","Unsure","Yes","Yes","No","Male","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
365,2.2685539171,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Metro Area"
366,1.0558446628,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Unsure","Unsure","Yes","Yes","Female","60+","White, non-Hispanic","HS graduate or equivalent","$60,000 to under $100,000","Metro Area"
367,0.8638960485,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Female","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
368,1.078836883,"Yes","No","Yes","Yes","No","Unsure","Yes","No","No","No","No","No","No","No","Yes","No","Female","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
369,0.4444464803,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Unsure","Female","60+","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Metro Area"
370,0.5788140901,"Yes","Yes","Yes","Yes","No","No","Yes","No","Unsure","No","No","No","No","No","Yes","Yes","Female","30-44","Asian-Pacific Islander, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
371,1.0501817088,"Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","Male","30-44","White, non-Hispanic","Less than HS","Less than $30,000","Metro Area"
372,1.4514588583,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
373,1.1823792475,"Yes","Unsure","Yes","Yes","Unsure","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","Male","60+","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
374,0.9173981561,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","SKIPPED ON WEB","Male","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
375,1.3136529101,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Male","60+","White, non-Hispanic","HS graduate or equivalent","$100,000 or more","Metro Area"
376,0.2917057713,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unsure","Yes","Yes","Yes","Yes","Female","30-44","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
377,0.8560396864,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","Male","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
378,2.4157294364,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
379,0.1738405272,"Yes","Yes","Yes","Yes","No","Unsure","Yes","Unsure","Unsure","Yes","No","Unsure","No","No","Yes","Yes","Female","30-44","2+, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
380,0.5176543822,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
381,0.1949381464,"Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
382,1.1430491179,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","2+, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
383,1.6645743155,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Male","30-44","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
384,1.4349742823,"Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Male","30-44","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Non-Metro Area"
385,0.7632098072,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
386,0.9040235203,"Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","No","Female","45-59","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
387,0.5057156433,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
388,0.4415155513,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Unsure","Unsure","Yes","Yes","Female","45-59","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
389,0.6346807896,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
390,1.258564167,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","Female","30-44","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
391,1.5315767323,"Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Yes","No","Yes","No","No","Yes","Unsure","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
392,0.909770956,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Male","45-59","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
393,1.0958995519,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
394,1.0814054488,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Unsure","Yes","Unsure","Yes","Yes","Male","30-44","White, non-Hispanic","Less than HS","$100,000 or more","Metro Area"
395,0.3334986566,"No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
396,0.286465421,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Unsure","No","No","Unsure","No","Unsure","No","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
397,0.9991699294,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","Yes","Yes","Unsure","No","No","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
398,0.5403261986,"Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Male","30-44","2+, non-Hispanic","Less than HS","$30,000 to under $60,000","Metro Area"
399,2.4304076064,"Yes","Unsure","Yes","Yes","No","Unsure","Yes","Unsure","Yes","No","Unsure","No","Unsure","Yes","Yes","No","Male","30-44","White, non-Hispanic","Less than HS","$100,000 or more","Metro Area"
400,1.5406702329,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Unsure","Unsure","Unsure","Unsure","Unsure","Yes","Yes","Female","30-44","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
401,0.2784601544,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
402,0.1602785352,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
403,2.0172605447,"Yes","No","Yes","Yes","No","Unsure","No","Unsure","Unsure","Unsure","Unsure","Unsure","No","No","Unsure","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Non-Metro Area"
404,0.8993505056,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Female","30-44","White, non-Hispanic","HS graduate or equivalent","$60,000 to under $100,000","Non-Metro Area"
405,0.60292465,"Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Yes","No","Yes","Yes","Yes","No","Unsure","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
406,0.1590311092,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Unsure","Female","30-44","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
407,1.6789718817,"Yes","Unsure","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Female","60+","2+, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
408,0.7951544567,"Yes","Yes","Yes","SKIPPED ON WEB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
409,0.1044978816,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Unsure","Female","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
410,0.7632098072,"No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
411,0.2783697794,"Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Male","60+","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
412,0.3631085664,"Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Non-Metro Area"
413,0.3629827611,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
414,1.9669160543,"Unsure","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Female","45-59","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
415,0.4797972337,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
416,0.7632215324,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Female","18-29","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Non-Metro Area"
417,0.348923252,"Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
418,0.5164338586,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
419,0.3689382965,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
420,0.3857946003,"Yes","Yes","Yes","Yes","No","Unsure","Yes","No","No","No","No","No","No","No","Yes","No","Female","30-44","White, non-Hispanic","HS graduate or equivalent","$60,000 to under $100,000","Metro Area"
421,1.7661367544,"Yes","Unsure","Yes","Yes","No","Yes","Yes","Unsure","Unsure","Unsure","Yes","Unsure","No","No","Yes","Unsure","Male","60+","White, non-Hispanic","HS graduate or equivalent","$100,000 or more","Metro Area"
422,1.5016730111,"No","No","No","Yes","Unsure","Unsure","Unsure","Unsure","No","No","No","No","No","No","No","No","Male","45-59","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
423,0.5355365718,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
424,1.2105231728,"Yes","No","Unsure","SKIPPED ON WEB","No","No","Yes","No","No","No","No","No","No","No","No","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Non-Metro Area"
425,0.5951847095,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Non-Metro Area"
426,0.1721012294,"Yes","Unsure","Yes","Yes","No","Unsure","Yes","No","No","No","No","No","No","No","No","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
427,0.3526648714,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
428,1.6317807311,"Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Female","30-44","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
429,0.2337016158,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Female","30-44","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
430,0.4886513504,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Female","30-44","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Metro Area"
431,0.6675803287,"Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Male","60+","White, non-Hispanic","Less than HS","$30,000 to under $60,000","Metro Area"
432,2.0776671066,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
433,0.4339542745,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
434,0.7584173329,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","Unsure","Yes","Yes","Male","30-44","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
435,2.4354798009,"Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Male","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Non-Metro Area"
436,1.4376038171,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Male","18-29","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
437,1.3243570826,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","HS graduate or equivalent","$60,000 to under $100,000","Non-Metro Area"
